Name,CPAN_Username,Twitter_Username,Website,Photo_URL,Brief_Bio,Presentation_Type,Blocks,Day,Time,Track,Group,Audience_Experience,Title,Public_Description
Daina Pettit,,,,,"Perl user since 1994.  Taught Perl and Linux classes since 2000.  Have spoken at the last 3 Perl Conferences on Map/Grep/Sort, Perl Quiz, and Perl's Worst Best Practices.  Currently working for Bluehost doing mostly backend Perl magic.",Standard Talk - 50 minutes,2,2017-06-19,10:30,Madison A,Perl Languages & Impl,Any,Perl Quiz II,"Test your Perl knowledge, Round Two.  Win prizes!  Everyone will win something.  We'll do a fun perl quiz as a group so you get to see how much you know.  We'll cover some arcane syntax as well as the latest Perl.  This will be enlightening and lots of fun.  Last year we handed out prizes such as board games, puzzles, toys, tools, videos, computer hardware, and other fun stuff.  Who knows what great prizes will be awarded this year!  Come participate, learn more about Perl, and win!
"
John S Jacobs Anderson,genehack,genehack,genehack.org,https://secure.gravatar.com/avatar/025d30f04795e1efc142701e4ac89bfd?s=130&d=identicon,"John is the VP of Technology for Infinity Interactive, a virtual IT consultancy. When he's not maintaining Perl modules or tweaking his Emacs config, he likes to play around with new languages like Swift and write about himself in the third person.",Standard Talk - 50 minutes,2,2017-06-19,10:30,Madison B,Polyglot,Any,A Modest Introduction to Swift,"Swift was originally released in 2014, and Open Sourced by Apple in late 2015. The Open Source release generated an explosion of community interest and support, resulting in ports to other platforms and significant language changes. Swift version 3, which reflects the results of much of this work, was released in September of 2016, bringing with it some significant refinements to the core language and a new package manager.

Swift is a multi-paradigm language, supporting imperative, functional, and object-oriented programming styles. The language is strongly typed but has extensive support for type inference and substantial tooling available in XCode to identify and in some cases automatically fix common programming errors. Swift uses a memory management strategy called automatic reference counting (ARC), freeing programmers from the tedium of manually managing memory allocation. This combination of strong typing, maximal type inference, automatic reference counting (ARC), and excellent tooling results in an experience that can be described as ""the Macintosh of programming languages"".

This talk will present some of the history of the development of Swift with emphasis on how the Open Source release of the language kick-started activity, review the basic syntax of Swift (with comparisons to similar languages that attendees may be more familiar with), and describe what tools are available to help learn the language, including XCode, the Swift REPL available from XCode, and the new Swift Playgrounds for iPad that debuted with Swift 3 and iOS10. After attending this talk, an attendee with no previous Swift experience will understand exactly why they should be excited about this relatively new programming language and be up to date on exactly what they need to do to dive into Swift coding for themselves.
"
Chad Granum,Exodist,,,https://secure.gravatar.com/avatar/f2f0a874b3c91ec888bbc845c31f5cf5?s=130&d=identicon,"Maintainer of Test::More, Test2, Child.pm, and others.",Standard Talk - 50 minutes,2,2017-06-19,10:30,Knox,"Test, Debug, Optimize",Any,Test::More to Test2: How to adapt.,This talk will explain Test2 from the perspective of someone who has used Test::More. After this you should be comfortable converting existing Test::More tests into Test2 tests. You will also know why converting your tests is a good idea.
Graham Knop,haarg,haarg,,https://secure.gravatar.com/avatar/5037faf9ba40cf736778820fe83fc2ae?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2F5037faf9ba40cf736778820fe83fc2ae%3Fs%3D130%26d%3Didenticon,"Moo, toolchain, and deep ugly magic.",Standard Talk - 50 minutes,2,2017-06-19,10:30,Jefferson,Infrastructure & Ecosystem,Intermediate,Continuous Integration for CPAN,"Continuous integration helps you catch issues in your modules across a more diverse set of configurations than is easy to check manually.  Travis-CI and AppVeyor are free CI solutions for open source projects that will allow automatic testing on Linux, macOS, and Windows.  Extra tools exist for easy testing with more configurations than Travis-CI has built in support for."
James E Keenan,JKEENAN,,http://thenceforward.net/perl,,"New York City-based Perl programmer and community organizer.  Author of more than a dozen CPAN libraries.  Presenter at YAPC::NA, YAPC::EU, YAPC::CA, DC-Baltimore Perl Workshop, Pittsburgh Perl Workshop and local Perlmonger meetings in New York, Toronto, Philadelphia and New Orleans.  Member of Perl 5 Porters.",Short Talk - 20 minutes,1,2017-06-19,11:30,Madison A,Perl Languages & Impl,Any,How Do We Assess and Maintain the Health of the Perl 5 Codebase?,"The publicly visible part of the Perl 5 codebase consists of the Perl 5 core distribution and the totality of all the libraries on CPAN.  We assess the health of the codebase via testing:  smoke-testing of Perl 5 blead and CPANtesters testing of new CPAN releases on a wide variety of versions of Perl and of operating systems.

But what happens when the code is not so healthy or when we need to provide preventative care?  How well are our tools suited for that purpose?

In this presentation we'll discuss the current state of Perl 5 smoke testing, testing of CPAN libraries and the mysterious land between them known as ""Blead Breaks CPAN.""  We'll see some of the challenges which the Perl 5 Porters face in moving the core language forward without causing major problems for CPAN libraries and other users.  And we'll introduce some ideas for improvements in the ways we maintain the health of the ecosystem."
Brian Gottreu,gottreu,bribles,bribles.com,,I've worked in higher education as a sysadmin for over a decade.,Short Talk - 20 minutes,1,2017-06-19,11:30,Madison B,Whatever,Any,Playing with Music with Perl,An overview of Perl modules useful for creating or processing audio and music specifically.  Live demo included.
Daniel Ruoso,druoso,,,https://secure.gravatar.com/avatar/ab7dd0b5fa50f9195a28a8b80d6e1300?s=130&d=identicon,"Perl Developer for almost 20 years, have worked in several industries and several types of applications in Brazil, Portugal and the United States. Contributed to several Perl projects including the early Perl 6 development, Catalyst and DBIx::Class.",Short Talk - 20 minutes,1,2017-06-19,11:30,Knox,"Test, Debug, Optimize",Any,Test::HTTP::MockServer - Testing things that don't want to be tested,"Sometimes, when writing a test, you don't have to opportunity to do dependency injection of the type of transport used in a specific API. Sometimes that code will unequivocally always use actual HTTP and the only control you have is over the host and port to which it will connect.

This talk covers a mechanism to work around that limitation and still write a readable, maintainable test."
Steven Lembark,lembark,,,,Steve Lembark has been playing with Perl for a while.,Short Talk - 20 minutes,1,2017-06-19,11:30,Jefferson,Infrastructure & Ecosystem,Any,Dockerizing CPAN Testers: Running an isolated test site.,"The CPAN testers network is an amazing outgrowth of Perl's ""tesing culture"". Authors get their modules tested on hundreds of O/S and Perl platform combinations. Setting up and managing a machine dedicated to testing can be difficult, however, even a virtual machine requires a lot of extra work to keep running. Docker (containers in general) provide an alternative: all it requires is the shared libraries for Perl and a way to import CPAN modules for tesing. The ability to manage resources and suspend/restart the containers also makes this nice for background work on larger systems.

This talk discusses the basics of setting up the CPAN testers code in a docker container and running the test cycle for in-house testing or as part of the general tester's network."
Damian Conway,DCONWAY,,http://damian.conway.org,,"Damian Conway is a 52-year-old Australian male, wanted in connection with various outrages and atrocities committed on CPAN over the past two decades, as well as numerous assaults on the sanity of Perl audiences across four continents.",Standard Talk - 50 minutes,2,2017-06-19,13:30,Madison A,Whatever,Any,A Vim Environment For Perl Developers,"My Vim config now totals over 75,000 lines of VimScript.
That's utter madness, of course. But there is method in it.

About 1/3 of those lines are specifically aimed at helping me write, maintain, navigate, and test my Perl code. My Vim configuration now automatically loads file templates, highlights syntax errors in realtime, intelligently searches for documentation, autocompletes syntactic constructs with snippet-like placeholders, autoaligns key/value lists, wraps long lines much more readably, summarizes subroutines, tracks and explains variables, searches and helps navigate source files across multiple directories, finds and executes module test suites, colour-codes STDOUT and STDERR, and even autoselects the right version of Perl for each program.

In this talk I'll explain how my .vimrc does all this, and show you how to obtain and configure the various Vim plugins and Perl modules that make it possible."
Carey Witkov,,,http://scholar.harvard.edu/witkov,,Physics preceptor (Harvard University),Short Talk - 20 minutes,1,2017-06-19,13:30,Madison B,Science & Data,Any,Higgs meets Perl: Implementing in Perl Data Language (PDL) the data fitting method used to detect the Higgs Boson,"This short talk will demonstrate how chi-square data fitting, the data fitting method used to detect the Higgs Boson, can be implemented in Perl Data Language (PDL).  Applications to general-purpose data fitting will be shown.   "
